verse_key,version_id,eng,local
GEN.1.1,2235,When God began to create the heavens and the earth.,Unimbɔti nín kíĺ ki náań kutagbɔŋu nì kitiŋee.
GEN.1.2,2235,"the earth was without shape or form, it was dark over the deep sea, and Gods wind swept over the waters.","kitiŋ kaa nìn cáá dikíl ní tiba nì tiba kaa nìn bí ki-pu ní dibɔmbɔndi nìn bīī inyiŋfi pu. Kitiŋ nìn sá nnyim ŋma ní, ní Unimbɔti Fam nìn dàn̄ nnyimee pu."
MAT.1.1,2235,"A record of the ancestors of Jesus Christ, son of David, son of Abraham.","Yeesu Kriisitoo naanjab yiŋŋi sɔ̀. U nìn sá Daafiidi naantiiu, ní Daafiidi nìn sá Abraam naantiiu."
MAT.1.2,2235,Abraham was the father of Isaac. Isaac was the father of Jacob. Jacob was the father of Judah and his brothers.,"Abraam màl̄ Isaaki, ní Isaaki màl̄ Jaakɔb, ní Jaakɔb màl̄ Juuda nì u-nabiyaamu."
GEN.8.1,2235,"God remembered Noah, all those alive, and all the animals with him in the ark. God sent a wind over the earth so that the waters receded.",Unimbɔti kaa nìn súntì Noowa nì ipeel nì tiwaŋkuti tin kɔkɔ nìn bí u-cee meela poonee pu. Di sá u nìn yāntì kubuŋu kubɔ dɔ́miń ki jítì kitiŋ pu ní nnyim sīntì.
GEN.7.1,2235,"The LORD said to Noah, Go into the ark with your whole household, because among this generation Ive seen that you are a moral man.","Noowa kpáá meela ki dóòyee ní ti-Dindaan bí-u yii: «Á kɔ́ meelan, sii nì a-dicaŋku kɔkɔ, kun puee a-yuntiŋu nib nee kansikinee, sii ní m ká yii a bí deedee."
GEN.6.1,2235,"When the number of people started to increase throughout the fertile land, daughters were born to them.","Binib nìn kíĺ ki bíi bùtī kitiŋ pu, ní ki màl̄ mbinimpubiyaamu."
GEN.3.1,2235,"The snake was the most intelligent of all the wild animals that the LORD God had made. He said to the woman, Did God really say that you shouldnt eat from any tree in the garden.",Ukoobu di nìn nyí diŋmatindi ipeel in ti-Dindaan Unimbɔti nìn náańee kɔkɔ kansikin. Dalbee ní u dɔ́miń ki bí unimpu yii: «Tiŋman ní Unimbɔti lafun lī yii ní taa ŋmɔ́ bukpaa nee poon subiliŋaaa?».
GEN.4.1,2235,"The man Adam knew his wife Eve intimately. She became pregnant and gave birth to Cain, and said, I have given life to a man with the LORDs help.","Adam béè u-nimpuu Awa ní u cáá dipool ki màl̄ Kaayeen, ní ki bí yii: «Ti-Dindaan tútúǹ-mi m màl̄ kibininjabiki.»."
GEN.1.3,2235,"God said, Let there be light. And so light appeared.",Ní Unimbɔti bí yii: «Ŋwalifi ń nyā!» Ní ŋwalifi nyáń.
GEN.8.2,2235,The springs of the deep sea and the skies closed up. The skies held back the rain.,Anyimbulnimbil nìn ŋéeb́ ní utaa gbēeǹ kaa ti bíi nì.
GEN.5.1,2235,"This is the record of Adams descendants. On the day God created humanity, he made them to resemble God.","Adam maaliŋu bɔti sɔ̀. Ŋwiin ŋun Unimbɔti náań unilee, u nìn náań-u ki nántiǹ úǹ u-ba ní."
GEN.2.1,2235,The heavens and the earth and all who live in them were completed.,"Míǹ ní Unimbɔti náań kutagbɔŋu nì tin kɔkɔ bí ku-puee, ní ki náań kitiŋ nì tin kɔkɔ bí ki-puee ki dóò."
GEN.7.2,2235,"From every clean animal, take seven pairs, a male and his mate; and from every unclean animal, take one pair, a male and his mate.","Á kɔ́ǹ tiwaŋkuti tin kɔkɔ ŋān̄ bí dūú ŋá saraayee tiluli tiluli, ijaa nì isal, ní kí kɔ́ǹ tin kaa ŋān̄ bí dūú ŋá saraayee tili tili, uja nì usal."
GEN.4.2,2235,"She gave birth a second time to Cains brother Abel. Abel cared for the flocks, and Cain farmed the fertile land.","Míǹ boonee ní u gíti cáá dipool ki màl̄ Kaayeen naal Abeel. Abeel wíiǹee ní ki bíi kpàá tiwaŋkuti, ní u-maan Kaayeen úǹ kù tikpaal."
GEN.8.3,2235,"The waters receded gradually from the earth. After one hundred fifty days, the waters decreased.","Ní nnyim kíĺ ki bíi fóotí kitiŋ pu fiii fiii, ki tin cáa sāā iwiin dilaataal nì imuŋku ili nì saalaa."
GEN.6.2,2235,"The divine beings saw how beautiful these human women were, so they married the ones they chose.",Unimbɔti jipɔmbi ká yii binifoobi sapɔmbi ŋān̄ee ní bi lēekì bi-kansikin bin fáatiǹ-bee ki cáá.
GEN.1.4,2235,God saw how good the light was. God separated the light from the darkness.,"Ní Unimbɔti ká yii ŋwalifi ŋān̄, ní u cúú ŋwalifi nì dibɔmbɔndi ki yākatì tɔbin."
